index;symbol;unicode;mass;xc_norm;yc_norm;ix_norm;iy_norm;file
1;𐎀;U+10380;0.36153846;0.41531444;0.48090426;0.02474784;0.05985742;sym_01_U10380.bmp
2;𐎁;U+10381;0.32519231;0.40041470;0.51763934;0.08091650;0.04151398;sym_02_U10381.bmp
3;𐎂;U+10382;0.36046512;0.51349930;0.36952878;0.06406434;0.02411486;sym_03_U10382.bmp
4;𐎃;U+10383;0.43846899;0.49949556;0.45111472;0.06938086;0.03042919;sym_04_U10383.bmp
5;𐎄;U+10384;0.37193341;0.41740190;0.52043176;0.08236604;0.04938460;sym_05_U10384.bmp
6;𐎅;U+10385;0.34806202;0.36976811;0.50934810;0.07656075;0.06481541;sym_06_U10385.bmp
7;𐎆;U+10386;0.29178158;0.37539669;0.50707572;0.03891572;0.07420608;sym_07_U10386.bmp
8;𐎇;U+10387;0.42732558;0.49502120;0.40888355;0.06048638;0.02838588;sym_08_U10387.bmp
9;𐎈;U+10388;0.27116935;0.51116589;0.44461836;0.04782848;0.05290912;sym_09_U10388.bmp
10;𐎉;U+10389;0.26436782;0.51788965;0.44748618;0.04533500;0.05704263;sym_10_U10389.bmp
11;𐎊;U+1038A;0.43046986;0.50096472;0.45065179;0.06930642;0.07268887;sym_11_U1038A.bmp
12;𐎋;U+1038B;0.28920757;0.35945790;0.50641026;0.03919353;0.06702684;sym_12_U1038B.bmp
13;𐎌;U+1038C;0.26549225;0.50805947;0.40827360;0.05170058;0.05890549;sym_13_U1038C.bmp
14;𐎍;U+1038D;0.35103708;0.50472155;0.36932961;0.06405825;0.07874265;sym_14_U1038D.bmp
15;𐎎;U+1038E;0.23235294;0.58853536;0.29063398;0.04259386;0.07825846;sym_15_U1038E.bmp
16;𐎏;U+1038F;0.25558748;0.50174627;0.45425824;0.04600432;0.05387157;sym_16_U1038F.bmp
17;𐎐;U+10390;0.40560748;0.43338840;0.50153610;0.02747064;0.06417223;sym_17_U10390.bmp
18;𐎑;U+10391;0.23265668;0.46787360;0.48464011;0.03189229;0.09181727;sym_18_U10391.bmp
19;𐎒;U+10392;0.30335917;0.49723169;0.35187895;0.06094210;0.04064256;sym_19_U10392.bmp
20;𐎓;U+10393;0.22222222;0.50446708;0.49210104;0.04814519;0.03979985;sym_20_U10393.bmp
21;𐎔;U+10394;0.35429521;0.36740869;0.51216789;0.06726342;0.06375183;sym_21_U10394.bmp
22;𐎕;U+10395;0.34941176;0.49064798;0.36095879;0.06403518;0.06852186;sym_22_U10395.bmp
23;𐎖;U+10396;0.18158474;0.54761956;0.48911597;0.02949003;0.07976189;sym_23_U10396.bmp
24;𐎗;U+10397;0.35007849;0.38578338;0.50661227;0.05620080;0.06267498;sym_24_U10397.bmp
25;𐎘;U+10398;0.31723964;0.55045595;0.42814155;0.05404096;0.02935626;sym_25_U10398.bmp
26;𐎙;U+10399;0.29133192;0.43377444;0.41575284;0.03733262;0.05156643;sym_26_U10399.bmp
27;𐎚;U+1039A;0.34837209;0.36948088;0.52937250;0.02242092;0.06483615;sym_27_U1039A.bmp
28;𐎛;U+1039B;0.27765703;0.35237021;0.41022413;0.05489428;0.05937848;sym_28_U1039B.bmp
29;𐎜;U+1039C;0.39695886;0.46770936;0.48414967;0.08219402;0.06536950;sym_29_U1039C.bmp
30;𐎝;U+1039D;0.32921512;0.51817688;0.44804571;0.07362261;0.07047995;sym_30_U1039D.bmp
